news_keyword,nearest_youtube_keyword,similarity,relation_type,news_core_score,youtube_core_score
국민,전,0.5769047141075134,semantic_near,0.976436332775,1.036253429016923
위원장,주제,0.5760732889175415,semantic_near,0.937555087944863,0.7485564445338462
기업,마음,0.5726081728935242,semantic_near,1.2694719890849315,1.7532605236307697
대통령,전,0.5723527073860168,semantic_near,2.645729065822945,1.036253429016923
별,이름,0.5716010332107544,semantic_near,1.5564698498509415,0.687202330883077
경우,배경,0.5689128637313843,semantic_near,0.973353236502055,0.6986526815630769
가입,추천,0.5683255791664124,semantic_near,1.2612186675164383,1.021274309013846
청년,인물,0.5646477937698364,semantic_near,1.247329975965069,1.0783833011384618
분석,부분,0.5610674619674683,semantic_near,0.9153559670527396,0.9691219881476923
기술,생활,0.5569140911102295,semantic_near,1.1294576614917808,0.6662468420830769
가능,추천,0.5536538362503052,semantic_near,1.1068388665934932,1.021274309013846
사용,조금,0.5529811382293701,semantic_near,0.9318025707311643,0.6986526815630769
규모,자체,0.5484815239906311,semantic_bridge,0.910076582004452,0.6693413593292308
서울,주제,0.5451772212982178,semantic_bridge,1.1143731690924656,0.7485564445338462
도시,생활,0.5415748357772827,semantic_bridge,0.9954233843613012,0.6662468420830769
중앙,제목,0.538748025894165,semantic_bridge,0.986978647272424,1.0150824483584615
방식,내용,0.5340173840522766,semantic_bridge,0.9392486968623286,1.1141174280123078
교육,교수,0.5296773910522461,semantic_bridge,1.0362822740356163,1.1477865482784615
달,마음,0.5272679328918457,semantic_bridge,1.8316976985945208,1.7532605236307697
문제,중요,0.5226198434829712,semantic_bridge,1.301853191506507,0.7672215739538463
변화,느낌,0.5221487283706665,semantic_bridge,0.9396692272989724,1.5169185423507692
지수,이름,0.5206305980682373,semantic_bridge,0.9552448379250342,0.687202330883077
경쟁,전쟁,0.520483136177063,semantic_bridge,0.9341571638030822,0.8262038837523077
우주,존재,0.5202388763427734,semantic_bridge,2.287774929246575,0.7177415077692308
오르다,찾다,0.5188621878623962,semantic_bridge,0.9385164751910958,0.8180838836246155
올해,이번,0.5144026875495911,semantic_bridge,0.9549710133654108,0.8135924405353847
데이터,자체,0.5141815543174744,semantic_bridge,1.6453268488712327,0.6693413593292308
금융,생활,0.5014139413833618,semantic_bridge,1.3365248994315069,0.6662468420830769
위험,안,0.4998987913131714,semantic_bridge,1.0915483008489724,1.070795209986154
차별,노동자,0.49878108501434326,semantic_bridge,0.9353907801797944,0.88114760534
많다,나다,0.4891141951084137,semantic_bridge,1.0561541480613017,0.9788295037753848
신용,감정,0.48350992798805237,semantic_bridge,1.033421110333904,1.0095020709907694
시장,전,0.475965678691864,semantic_bridge,1.0414531080770548,1.036253429016923
지구,존재,0.4740274250507355,semantic_bridge,1.078019252830822,0.7177415077692308
태양,존재,0.46233969926834106,semantic_bridge,1.01027881985,0.7177415077692308
미국,전쟁,0.4588809907436371,semantic_bridge,1.5314235146921231,0.8262038837523077
정부,제목,0.4583163857460022,semantic_bridge,1.318560670592808,1.0150824483584615
높다,교수,0.45166051387786865,semantic_bridge,1.0382782598979452,1.1477865482784615
은행,이름,0.45011889934539795,semantic_bridge,0.8995168095897259,0.687202330883077
센터,교수,0.4501149654388428,semantic_bridge,1.593709664129452,1.1477865482784615
단백질,운동,0.4139648377895355,semantic_bridge,1.150182766833904,1.0699649493400003
대출,집,0.4041057825088501,semantic_bridge,1.531455380374315,0.9019530592892308
기후,마음,0.3973608613014221,semantic_gap,1.2593469947681506,1.7532605236307697
선거,인물,0.3969978094100952,semantic_gap,1.7542278298691778,1.0783833011384618
도서관,집,0.39105919003486633,semantic_gap,1.4754037118376713,0.9019530592892308
수사,내용,0.3895637094974518,semantic_gap,1.0430300353386983,1.1141174280123078
북한,꿈,0.3848136067390442,semantic_gap,0.9501316984976028,0.9980752593769232
코스피,지금,0.38396772742271423,semantic_gap,1.0234886657136983,0.6872135651723077
중국,꿈,0.38162824511528015,semantic_gap,1.189652337407192,0.9980752593769232
