rank,token,pos,core_score,tfidf_avg_seen,total_count,doc_freq,doc_freq_ratio
29,위하다,VV,1.0513353929415383,4.2710500338249995,29,16,0.24615384615384617
30,사회,NNG,1.0498821538307692,5.686861666583333,26,12,0.18461538461538463
31,보이다,VV,1.0463322541953846,3.579557711721052,31,19,0.2923076923076923
32,먹다,VV,1.0411976700646155,4.51185657028,28,15,0.23076923076923078
33,전,NNG,1.036253429016923,3.7420262714499994,30,18,0.27692307692307694
34,만들다,VV,1.025833946763077,3.922306267035294,29,17,0.26153846153846155
35,추천,NNG,1.021274309013846,2.8862100037347824,33,23,0.35384615384615387
36,제목,NNG,1.0150824483584615,4.1237724464562495,28,16,0.24615384615384617
37,가지다,VV,1.0112790282338462,2.9878698561454544,32,22,0.3384615384615385
38,감정,NNG,1.0095020709907694,5.468136217866667,25,12,0.18461538461538463
39,삶,NNG,1.0040120389923077,4.350718835633333,27,15,0.23076923076923078
40,꿈,NNG,0.9980752593769231,10.812481976583333,20,6,0.09230769230769231
41,진심,NNG,0.9947250226984617,21.552375491800003,17,3,0.046153846153846156
42,나다,VV,0.9788295037753847,3.9764948590875,27,16,0.24615384615384617
43,모르다,VV,0.9788269474753847,3.3486185045210526,29,19,0.2923076923076923
44,부분,NNG,0.9691219881476923,5.249410769133333,24,12,0.18461538461538463
45,한국,NNP,0.9667851301307692,7.855129182312499,21,8,0.12307692307692308
46,주인공,NNG,0.9425765591938461,3.8292172717249997,26,16,0.24615384615384617
47,그러다,VV,0.9197131936492308,3.516550446305882,26,17,0.26153846153846155
48,사실,NNG,0.9154532004476922,5.409496184463635,22,11,0.16923076923076924
49,말씀,NNG,0.9063236146061538,3.6819396843375,25,16,0.24615384615384617
50,소개,NNG,0.9040176012753848,2.7981497182333337,28,21,0.3230769230769231
51,집,NNG,0.9019530592892308,5.86269488538,21,10,0.15384615384615385
52,속,NNG,0.8843396092769231,3.3812985060588234,25,17,0.26153846153846155
53,노동자,NNG,0.88114760534,28.63729717355,14,2,0.03076923076923077
54,다르다,VA,0.8775689873907692,3.0022096937052627,26,19,0.2923076923076923
55,나라,NNG,0.8747103558338463,7.10702164115,19,8,0.12307692307692308
56,영화,NNG,0.8747103558338463,7.10702164115,19,8,0.12307692307692308
57,기억,NNG,0.8612898093246153,7.997691086585713,18,7,0.1076923076923077
58,노동,NNG,0.8483639704707693,9.1906096801,17,6,0.09230769230769231
59,전쟁,NNG,0.8262038837523077,13.425813110975,15,4,0.06153846153846154
60,일제,NNG,0.8182084906723077,26.59177594685,13,2,0.03076923076923077
61,찾다,VV,0.8180838836246155,3.5450301623733336,22,15,0.23076923076923078
62,마지막,NNG,0.8180838836230769,3.5450301623666665,22,15,0.23076923076923078
63,처음,NNG,0.8180838836215386,3.5450301623600002,22,15,0.23076923076923078
64,그때,NNG,0.816052767926154,5.30434299152,19,10,0.15384615384615385
65,이번,NNG,0.8135924405353847,3.110794625576471,23,17,0.26153846153846155
66,소설집,NNG,0.8134403754723077,7.5533749151,17,7,0.1076923076923077
67,세계,NNG,0.8076016567907691,4.374508974283333,20,12,0.18461538461538463
68,크다,VA,0.8010215503907693,4.7333091614,21,11,0.16923076923076924
69,이후,NNG,0.7984602075015385,8.649985581266666,16,6,0.09230769230769231
70,자신,NNG,0.7975647808538462,3.2401069222187497,22,16,0.24615384615384617
