rank,token,pos,core_score,tfidf_avg_seen,total_count,doc_freq,doc_freq_ratio
64,나오다,VV,1.0194568508089041,3.1668234088957448,140,94,0.3219178082191781
65,통하다,VV,1.0152733790763697,2.82342692086,147,105,0.3595890410958904
66,태양,NNG,1.01027881985,22.692416568938462,73,13,0.04452054794520548
67,관계,NNG,1.0096445952907533,7.01943385297381,101,42,0.14383561643835616
68,도시,NNG,0.9954233843613013,13.211983101522726,82,22,0.07534246575342465
69,이후,NNG,0.9880775432619862,3.205762695916666,133,90,0.3082191780821918
70,중앙,NNG,0.9869786472724239,13.099898409252173,85,22,0.07534246575342465
71,나타나다,VV,0.9854844500715753,4.796024323681666,112,60,0.2054794520547945
72,시작,NNG,0.9790576162828767,3.863308431818919,121,74,0.2534246575342466
73,후보,NNG,0.9768959716952055,19.016908249,73,15,0.05136986301369863
74,선관위,NNG,0.9768959716948629,19.01690824899333,73,15,0.05136986301369863
75,국민,NNG,0.9764363327750001,5.818763452455102,103,49,0.1678082191780822
76,경우,NNG,0.973353236502055,3.6438351930589747,123,78,0.2671232876712329
77,미래,NNG,0.9690429444674657,7.647582156337838,93,37,0.1267123287671233
78,지수,NNG,0.9552448379250342,9.61832733359,88,29,0.09931506849315068
79,올해,NNG,0.9549710133654109,4.100757880922059,114,68,0.2328767123287671
80,북한,NNP,0.9501316984976027,18.495897064086666,71,15,0.05136986301369863
81,상황,NNG,0.9493534925869862,4.017553910657971,114,69,0.2363013698630137
82,자신,NNG,0.9482799343311644,4.944602514726786,105,56,0.1917808219178082
83,발생,NNG,0.9475465787928082,4.689552559449153,107,59,0.20205479452054795
84,작가,NNG,0.947491039434589,12.02901667456087,79,23,0.07876712328767123
85,변화,NNG,0.9396692272989725,6.532938437411905,94,42,0.14383561643835616
86,방식,NNG,0.9392486968623286,4.897511062210714,104,56,0.1917808219178082
87,계획,NNG,0.9392486968619862,4.897511062208928,104,56,0.1917808219178082
88,오르다,VV,0.9385164751910958,5.592792056240816,99,49,0.1678082191780822
89,위원장,NNG,0.937555087944863,10.950643427196,80,25,0.08561643835616438
90,의원,NNG,0.9354920136208904,7.587879666036112,89,36,0.1232876712328767
91,차별,NNG,0.9353907801797945,17.07088173828125,71,16,0.0547945205479452
