keyword,group,news_rank,news_core_score,news_total_count,news_doc_freq_ratio,youtube_rank,youtube_core_score,youtube_total_count,youtube_doc_freq_ratio
시리즈,youtube_only,,,,,82,0.7318543664492309,14,0.07692307692307693
실리다,youtube_only,,,,,83,0.7268414911153845,18,0.18461538461538463
요즘,youtube_only,,,,,84,0.7268414911153845,18,0.18461538461538463
사다,youtube_only,,,,,85,0.7253920965738462,19,0.2153846153846154
독자,youtube_only,,,,,86,0.7177415077692308,15,0.1076923076923077
위로,youtube_only,,,,,87,0.7177415077692308,15,0.1076923076923077
존재,youtube_only,,,,,88,0.7177415077692308,15,0.1076923076923077
주다,youtube_only,,,,,89,0.70747168742,20,0.26153846153846155
끝,youtube_only,,,,,90,0.7073956548892307,17,0.16923076923076924
수상,youtube_only,,,,,91,0.7021588395523077,12,0.046153846153846156
배경,youtube_only,,,,,92,0.6986526815630769,14,0.09230769230769231
조금,youtube_only,,,,,93,0.6986526815630769,14,0.09230769230769231
엄마,youtube_only,,,,,94,0.6905608072384616,15,0.12307692307692308
힘들다,youtube_only,,,,,95,0.6872135651738461,18,0.2153846153846154
지금,youtube_only,,,,,96,0.6872135651723077,18,0.2153846153846154
이름,youtube_only,,,,,97,0.687202330883077,16,0.15384615384615385
자체,youtube_only,,,,,98,0.6693413593292308,18,0.23076923076923078
생활,youtube_only,,,,,99,0.6662468420830769,15,0.13846153846153847
